dataset,variant,variant_key,poison_percent,n_clients,n_attackers,ndcg@10,ndcg@20,recall@20,precision@20,acc@10,seed,best_training.local_epochs,best_training.learning_rate,best_preference.beta_Q,best_preference.lambda_uncertainty,best_preference.kappa
Swarm,PCTRA FULL,full,50,30,15,0.0709464296769698,0.102965624689754,0.1926653784447463,0.0425899126333279,0.3153776062603848,92,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Adaptive Caps,without_adaptive_caps,0,30,0,0.070957507954641,0.1022931133527745,0.1900037644132134,0.0426890711261188,0.3161279948544782,42,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Adaptive Caps,without_adaptive_caps,10,30,3,0.0715190656159118,0.1032380929693751,0.1927513487425481,0.0430053063193439,0.3188079541190974,52,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Adaptive Caps,without_adaptive_caps,20,30,6,0.0691644455050249,0.1011565720892589,0.190438044121166,0.0427105108002358,0.3145736184809991,62,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Adaptive Caps,without_adaptive_caps,30,30,9,0.0688665030980737,0.1016788928002324,0.1923773992311251,0.0429088277858176,0.3081953154312054,72,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o Adaptive Caps,without_adaptive_caps,50,30,15,0.0709607686660104,0.1029639931791627,0.1926738988202871,0.0425872326740633,0.3154848046309696,92,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o GCN (Matrix Factorization),without_gcn,0,30,0,0.069160935827488,0.1007669248153004,0.189073808448153,0.0422951171142198,0.3113576673634561,42,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o GCN (Matrix Factorization),without_gcn,10,30,3,0.0691737736368618,0.1006670826320955,0.1892974883901058,0.042490754140537,0.3145736184809991,52,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o GCN (Matrix Factorization),without_gcn,20,30,6,0.0708503491183239,0.1034599173521113,0.1957449609535596,0.0429704668489039,0.3174679744867878,62,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o GCN (Matrix Factorization),without_gcn,30,30,9,0.0681420696017651,0.1000702355421591,0.1894039967892142,0.0422361580103982,0.3083025138017902,72,1,0.02,1.5,0.7,1.0
Swarm,PCTRA w/o GCN (Matrix Factorization),without_gcn,50,30,15,0.0688886201845207,0.1014911916447129,0.1908373290564456,0.0424532347108323,0.3073377284665273,92,1,0.02,1.5,0.7,1.0
