dataset,preference.beta_Q,preference.lambda_uncertainty,preference.kappa,training.local_epochs,training.learning_rate,ndcg@10,ndcg@20,recall@10,recall@20,precision@10,precision@20,acc@5,acc@10,acc@20
Foursquare,0.5,0.5,0.5,5,0.02,0.07769935830170253,0.11753190587105422,0.09247602083593474,0.1863923770013249,0.057395962093119084,0.05745776679027605,0.24639472599917595,0.4363411619283066,0.6736711990111248
Foursquare,0.5,0.5,0.5,10,0.005,0.07795445438695772,0.11790018963606162,0.09309530082122282,0.18729400867367868,0.056613102595797285,0.05683971981870622,0.24969097651421507,0.43098475484136795,0.6765554182117841
Foursquare,0.5,0.5,0.5,10,0.01,0.07622405029074153,0.1161714911259445,0.09058945916051096,0.1843820564473885,0.05562422744128554,0.05665430572723527,0.25257519571487436,0.4120313143798929,0.6633704161516275
Foursquare,0.5,0.5,0.5,10,0.02,0.07934354800413414,0.12188054849805745,0.09381634004043618,0.19484231318449874,0.057725587144623,0.05896168108776268,0.2587556654305727,0.43798928718582614,0.7004532344458179
Foursquare,0.5,0.5,1.0,1,0.005,0.0745525434598308,0.1139102986509024,0.09142119679624415,0.1832502573724037,0.05554182117840956,0.05589204779563247,0.24680675731355584,0.44169756901524515,0.6740832303255048
Foursquare,0.5,0.5,1.0,1,0.01,0.0809762602718049,0.12028767141887997,0.0987884321816214,0.1926848178595131,0.059167696744952626,0.057704985578904,0.25793160280181293,0.45488257107540175,0.6967449526163988
Foursquare,0.5,0.5,1.0,1,0.02,0.08047981865130689,0.12192132525414853,0.09385167715166154,0.1921247383234555,0.05817882159044087,0.05842604037906882,0.2595797280593325,0.43510506798516685,0.6930366707869798
Foursquare,0.5,0.5,1.0,3,0.005,0.07984174406309248,0.11873714122692539,0.09335493005622976,0.18553172477880703,0.05723114956736712,0.05642768850432633,0.26782035434693036,0.43798928718582614,0.6814997939843428
Foursquare,0.5,0.5,1.0,3,0.01,0.08011006690537478,0.12101619979807986,0.09409453145180967,0.190549312531371,0.05735475896168108,0.0580964153275649,0.2665842604037907,0.4396374124433457,0.6790276060980635
Foursquare,0.5,0.5,1.0,3,0.02,0.07674631510481182,0.11708595083478214,0.09431713609775542,0.1892918848659571,0.05718994643592914,0.057704985578904,0.24763081994231562,0.43675319324268647,0.6909765142150803
Foursquare,0.5,0.5,1.0,5,0.005,0.07905566737822224,0.11994171669239048,0.09208017579941827,0.18915340856864274,0.05694272764730119,0.057498969921714056,0.25298722702925425,0.4388133498145859,0.6893283889575608
Foursquare,0.5,0.5,1.0,5,0.01,0.0782959248635102,0.11663624594031284,0.09424807481285402,0.18560358763344087,0.057395962093119084,0.056489493201483325,0.25092707045735474,0.4503502266172229,0.680675731355583
Foursquare,0.5,0.5,1.0,5,0.02,0.07660326237551003,0.11529800867000568,0.09269062574210946,0.18352223802904338,0.05694272764730119,0.05644829007004532,0.24680675731355584,0.4326328800988875,0.6683147919241862
Foursquare,0.5,0.5,1.0,10,0.005,0.07892159364397937,0.12114380831185662,0.09499822240729806,0.19331354361106692,0.056159868149979406,0.05830243098475484,0.2595797280593325,0.4388133498145859,0.6880922950144212
Foursquare,0.5,0.5,1.0,10,0.01,0.08249453099246978,0.12218771210807833,0.10030556492685924,0.19466148111324993,0.06044499381953028,0.05875566543057272,0.2723526988051092,0.4581788215904409,0.6938607334157396
Foursquare,0.5,0.5,1.0,10,0.02,0.07823589304297698,0.11730147895041369,0.09498661379970834,0.18677578698968872,0.058384837247630814,0.05727235269880511,0.2546353522867738,0.4565306963329213,0.6798516687268232
Foursquare,0.5,0.5,2.0,1,0.005,0.07834397681608127,0.11848922905434027,0.09586616740763623,0.19045026861961806,0.057890399670374945,0.05774618871034199,0.25010300782859496,0.4503502266172229,0.6856201071281417
Foursquare,0.5,0.5,2.0,1,0.01,0.07972186212471609,0.12001582062243901,0.0955838054513176,0.19064981050580976,0.057807993407498974,0.057704985578904,0.2517511330861145,0.4297486608982283,0.6889163576431809
Foursquare,0.5,0.5,2.0,1,0.02,0.0739261908014622,0.11408548006582894,0.09127613878267615,0.1861943769828073,0.055335805521219604,0.056221672847136375,0.22661722290894107,0.4276885043263288,0.6777915121549237
Foursquare,0.5,0.5,2.0,3,0.005,0.07514427172250801,0.11630110617043962,0.0941219518628529,0.19115143526984424,0.05628347754429337,0.05723114956736712,0.242274412855377,0.43675319324268647,0.681087762669963
Foursquare,0.5,0.5,2.0,3,0.01,0.08083158743037994,0.12021183898858362,0.09819762238047662,0.1908762389510796,0.05834363411619283,0.05725175113308612,0.25669550885867326,0.4511742892459827,0.6868562010712814
Foursquare,0.5,0.5,2.0,3,0.02,0.0735697768381872,0.11490561795833751,0.08840962098172937,0.1855161843642791,0.054717758549649775,0.05679851668726824,0.2377420683971982,0.4276885043263288,0.6852080758137619
Foursquare,0.5,0.5,2.0,5,0.005,0.07801921765970886,0.11775132781686856,0.09397991376365429,0.18772993515380143,0.05723114956736712,0.057148743304491136,0.2554594149155336,0.4445817882159044,0.676967449526164
Foursquare,0.5,0.5,2.0,5,0.01,0.07655163216763454,0.11828410526815161,0.09070170853265691,0.1896859890747633,0.055830243098475486,0.057807993407498974,0.2521631644004944,0.43428100535640707,0.6872682323856613
Foursquare,0.5,0.5,2.0,5,0.02,0.07936135365833966,0.12011764244806282,0.09551455708554404,0.19251270543586602,0.0584672435105068,0.057993407498969925,0.2669962917181706,0.4429336629583848,0.6843840131850021
Foursquare,0.5,0.5,2.0,10,0.005,0.0791869550630142,0.11846828514275304,0.09490104444113509,0.1878330143922304,0.058220024721878864,0.057684384013185014,0.25010300782859496,0.44252163164400493,0.6790276060980635
Foursquare,0.5,0.5,2.0,10,0.01,0.07805003955232975,0.11710929486319913,0.09534565001703563,0.18762042912704405,0.057437165224557066,0.0565306963329213,0.2554594149155336,0.43469303667078696,0.672847136382365
Foursquare,0.5,0.5,2.0,10,0.02,0.07983548511963318,0.12098327764667932,0.09818651970619105,0.19480413693341678,0.059291306139266586,0.059002884219200656,0.24639472599917595,0.45529460238978164,0.6979810465595385
Foursquare,0.5,0.7,0.2,1,0.005,0.078374174573918,0.11736664043225614,0.09603160146508555,0.18798942980774702,0.05830243098475484,0.05683971981870622,0.25298722702925425,0.45241038318912236,0.6819118252987227
Foursquare,0.5,0.7,0.2,1,0.01,0.07558498934120755,0.11529167600147079,0.09392191973276286,0.1881729061331398,0.05686032138442522,0.05663370416151627,0.2488669138854553,0.4363411619283066,0.6930366707869798
Foursquare,0.5,0.7,0.2,1,0.02,0.07728927668423453,0.11694046928296149,0.09274091683672123,0.18588917907691666,0.05640708693860734,0.056613102595797285,0.25092707045735474,0.43428100535640707,0.6786155747836835
Foursquare,0.5,0.7,0.2,3,0.005,0.07718241035221814,0.11687162581721242,0.09378433293473146,0.18823165921377916,0.05718994643592914,0.05710754017305316,0.261639884631232,0.4318088174701277,0.6831479192418624
Foursquare,0.5,0.7,0.2,3,0.01,0.07850113208950672,0.11723736004271829,0.09425744524540805,0.18534448527012454,0.057395962093119084,0.05675731355583024,0.25710754017305315,0.449938195302843,0.6918005768438401
Foursquare,0.5,0.7,0.2,3,0.02,0.07926904650424756,0.1200809842949527,0.09459081802966221,0.19103590446008184,0.05694272764730119,0.057684384013185,0.25339925834363414,0.4388133498145859,0.6901524515863205
Foursquare,0.5,0.7,0.2,5,0.005,0.07420623287092692,0.1137270239886316,0.08806086430487968,0.18098993741511554,0.05368768026370004,0.05515039142974867,0.23856613102595797,0.4186238154099712,0.6794396374124434
Foursquare,0.5,0.7,0.2,5,0.01,0.07481139209061557,0.11673764797939205,0.09152452475045555,0.18967525863992749,0.05508858673259167,0.05760197775030903,0.24515863205603625,0.43139678615574784,0.6868562010712814
Foursquare,0.5,0.7,0.2,5,0.02,0.0787980667923704,0.11775284709927665,0.09489430421462766,0.1879339811958334,0.05780799340749896,0.05630407911001235,0.24433456942727647,0.4437577255871446,0.676967449526164
Foursquare,0.5,0.7,0.2,10,0.005,0.07884456482723132,0.1176330175698445,0.09613682152537137,0.18744731628375128,0.05735475896168108,0.05694272764730119,0.25298722702925425,0.43675319324268647,0.6794396374124434
Foursquare,0.5,0.7,0.2,10,0.01,0.07641953750403845,0.11557373974404095,0.09144234875101209,0.18401461754917595,0.05595385249278945,0.05611866501854142,0.25628347754429337,0.42727647301194893,0.6744952616398846
Foursquare,0.5,0.7,0.2,10,0.02,0.08156806681221619,0.1226520445074162,0.09677359498763972,0.19385939548522826,0.05883807169344871,0.05859085290482076,0.261639884631232,0.44787803873094356,0.6909765142150803
Foursquare,0.5,0.7,0.5,1,0.005,0.07653652785713996,0.11782978377539592,0.0934874807639535,0.19063473728142064,0.0569015245158632,0.05811701689328389,0.2484548825710754,0.43757725587144625,0.6913885455294603
Foursquare,0.5,0.7,0.5,1,0.01,0.07817865264626021,0.11856778993140078,0.09497706526878112,0.19076803745453322,0.05686032138442522,0.05729295426452411,0.24721878862793573,0.4404614750721055,0.6864441697569015
Foursquare,0.5,0.7,0.5,1,0.02,0.07799434881962572,0.11809928759510331,0.09455485729942913,0.1903673352053736,0.0569015245158632,0.05686032138442522,0.25339925834363414,0.44252163164400493,0.6852080758137619
Foursquare,0.5,0.7,0.5,3,0.005,0.07539355037729908,0.11574506633398814,0.08997899029109749,0.18435489079235318,0.05442933662958386,0.05618046971569839,0.2546353522867738,0.4293366295838484,0.6777915121549237
Foursquare,0.5,0.7,0.5,3,0.01,0.08245880219421886,0.12119444029838201,0.10072040886436391,0.19239942681573585,0.06180469715698393,0.058735063864853734,0.26905644829007,0.46023897816234033,0.6819118252987227
Foursquare,0.5,0.7,0.5,3,0.02,0.07475120278740516,0.11579716676879133,0.09164991512619307,0.18870094589136027,0.057231149567367114,0.057993407498969925,0.24515863205603625,0.44087350638648537,0.6988051091882983
